date,traffic_source,ad_spend
2025-07-24,Referral,107
2025-07-24,Direct,181
2025-07-25,SEO,190
2025-07-25,Google Ads,43
2025-07-25,Referral,121
2025-07-25,Direct,44
2025-07-26,SEO,188
2025-07-26,Google Ads,136
2025-07-26,Referral,52
2025-07-26,Direct,127
2025-07-27,SEO,62
2025-07-27,Google Ads,36
2025-07-27,Referral,26
2025-07-27,Direct,46
2025-07-28,SEO,55
2025-07-28,Google Ads,166
2025-07-28,Referral,34
2025-07-28,Direct,89
2025-07-29,SEO,88
2025-07-29,Google Ads,72
2025-07-29,Referral,21
2025-07-29,Direct,126
2025-07-30,SEO,165
2025-07-30,Google Ads,179
2025-07-30,Referral,132
2025-07-30,Direct,145
2025-07-31,SEO,176
2025-07-31,Google Ads,68
2025-07-31,Referral,135
2025-07-31,Direct,79
2025-08-01,SEO,146
2025-08-01,Google Ads,47
2025-08-01,Referral,105
2025-08-01,Direct,174
2025-08-02,SEO,155
2025-08-02,Google Ads,170
2025-08-02,Referral,51
2025-08-02,Direct,34
2025-08-03,SEO,110
2025-08-03,Google Ads,147
2025-08-03,Referral,142
2025-08-03,Direct,187
2025-08-04,SEO,115
2025-08-04,Google Ads,76
2025-08-04,Referral,66
2025-08-04,Direct,120
2025-08-05,SEO,137
2025-08-05,Google Ads,29
2025-08-05,Referral,136
2025-08-05,Direct,111
2025-08-06,SEO,199
2025-08-06,Google Ads,82
2025-08-06,Referral,198
2025-08-06,Direct,89
2025-08-07,SEO,156
2025-08-07,Google Ads,113
2025-08-07,Referral,60
2025-08-07,Direct,59
2025-08-08,SEO,35
2025-08-08,Google Ads,44
2025-08-08,Referral,157
2025-08-08,Direct,177
2025-08-09,SEO,28
2025-08-09,Google Ads,59
2025-08-09,Referral,76
2025-08-09,Direct,65
2025-08-10,SEO,138
2025-08-10,Google Ads,26
2025-08-10,Referral,190
2025-08-10,Direct,135
2025-08-11,SEO,147
2025-08-11,Google Ads,195
2025-08-11,Referral,132
2025-08-11,Direct,138
2025-08-12,SEO,123
2025-08-12,Google Ads,76
2025-08-12,Referral,164
2025-08-12,Direct,44
2025-08-13,SEO,130
2025-08-13,Google Ads,154
2025-08-13,Referral,74
2025-08-13,Direct,166
2025-08-14,SEO,51
2025-08-14,Google Ads,106
2025-08-14,Referral,179
2025-08-14,Direct,173
2025-08-15,SEO,91
2025-08-15,Google Ads,41
2025-08-15,Referral,155
2025-08-15,Direct,65
2025-08-16,SEO,24
2025-08-16,Google Ads,31
2025-08-16,Referral,46
2025-08-16,Direct,103
2025-08-17,SEO,158
2025-08-17,Google Ads,55
2025-08-17,Referral,71
2025-08-17,Direct,149
2025-08-18,SEO,93
2025-08-18,Google Ads,31
2025-08-18,Referral,74
2025-08-18,Direct,99
2025-08-19,SEO,178
2025-08-19,Google Ads,110
2025-08-19,Referral,179
2025-08-19,Direct,83
2025-08-20,SEO,123
2025-08-20,Google Ads,110
2025-08-20,Referral,78
2025-08-20,Direct,44
2025-08-21,SEO,123
2025-08-21,Google Ads,87
2025-08-21,Referral,191
2025-08-21,Direct,190
2025-08-22,SEO,162
2025-08-22,Google Ads,160
2025-08-22,Referral,192
2025-08-22,Direct,172
2025-08-23,SEO,172
2025-08-23,Google Ads,29
2025-08-23,Referral,31
2025-08-23,Direct,48
2025-08-24,SEO,62
2025-08-24,Google Ads,107
2025-08-24,Referral,107
2025-08-24,Direct,130
2025-08-25,SEO,132
2025-08-25,Google Ads,184
2025-08-25,Referral,88
2025-08-25,Direct,138
2025-08-26,SEO,30
2025-08-26,Google Ads,187
2025-08-26,Referral,126
2025-08-26,Direct,82
2025-08-27,SEO,41
2025-08-27,Google Ads,162
2025-08-27,Referral,156
2025-08-27,Direct,89
2025-08-28,SEO,109
2025-08-28,Google Ads,153
2025-08-28,Referral,115
2025-08-28,Direct,62
2025-08-29,SEO,167
2025-08-29,Google Ads,144
2025-08-29,Referral,118
2025-08-29,Direct,190
2025-08-30,SEO,86
2025-08-30,Google Ads,101
2025-08-30,Referral,199
2025-08-30,Direct,119
2025-08-31,SEO,173
2025-08-31,Google Ads,178
2025-08-31,Referral,87
2025-08-31,Direct,76
2025-09-01,SEO,171
2025-09-01,Google Ads,173
2025-09-01,Referral,68
2025-09-01,Direct,57
2025-09-02,SEO,55
2025-09-02,Google Ads,141
2025-09-02,Referral,156
2025-09-02,Direct,189
2025-09-03,SEO,115
2025-09-03,Google Ads,123
2025-09-03,Referral,101
2025-09-03,Direct,43
2025-09-04,SEO,187
2025-09-04,Google Ads,101
2025-09-04,Referral,122
2025-09-04,Direct,27
2025-09-05,SEO,134
2025-09-05,Google Ads,30
2025-09-05,Referral,126
2025-09-05,Direct,114
2025-09-06,SEO,141
2025-09-06,Google Ads,176
2025-09-06,Referral,61
2025-09-06,Direct,25
2025-09-07,SEO,22
2025-09-07,Google Ads,93
2025-09-07,Referral,117
2025-09-07,Direct,84
2025-09-08,SEO,159
2025-09-08,Google Ads,55
2025-09-08,Referral,199
2025-09-08,Direct,139
2025-09-09,SEO,144
2025-09-09,Google Ads,179
2025-09-09,Referral,158
2025-09-09,Direct,148
2025-09-10,SEO,131
2025-09-10,Google Ads,153
2025-09-10,Referral,98
2025-09-10,Direct,171
2025-09-11,SEO,91
2025-09-11,Google Ads,100
2025-09-11,Referral,171
2025-09-11,Direct,96
2025-09-12,SEO,28
2025-09-12,Google Ads,89
2025-09-12,Referral,42
2025-09-12,Direct,105
2025-09-13,SEO,36
2025-09-13,Google Ads,117
2025-09-13,Referral,142
2025-09-13,Direct,44
2025-09-14,SEO,131
2025-09-14,Google Ads,57
2025-09-14,Referral,22
2025-09-14,Direct,33
2025-09-15,SEO,29
2025-09-15,Google Ads,85
2025-09-15,Referral,161
2025-09-15,Direct,145
2025-09-16,SEO,29
2025-09-16,Google Ads,118
