question_id,user_id,category,question_date,response_time_minutes,lawyer_id
91,279,Contracts,2025-04-16,28.74,12
92,2741,Divorce,2025-03-15,22.18,54
93,1829,Criminal,2025-11-24,32.67,60
94,2836,Divorce,2025-05-19,25.36,29
95,376,Divorce,2025-09-25,23.48,61
96,236,Real Estate,2025-08-19,49.66,46
97,658,Contracts,2025-07-30,46.47,49
98,68,Divorce,2025-05-03,31.03,18
99,1981,Divorce,2025-03-31,45.84,76
100,2862,Labor,2025-11-09,11.26,74
101,1200,Immigration,2025-12-21,18.76,24
102,2632,Real Estate,2025-01-20,19.25,17
103,617,Criminal,2025-11-02,29.56,56
104,1954,Immigration,2025-04-03,6.26,52
105,2920,Real Estate,2025-09-13,30.76,71
106,1543,Labor,2025-11-10,37.78,20
107,818,Labor,2025-02-15,36.86,29
108,53,Labor,2025-11-18,5.75,75
109,1353,Contracts,2025-06-04,6.93,50
110,1291,Immigration,2025-06-28,13.89,15
111,716,Labor,2025-08-03,78.17,31
112,392,Divorce,2025-01-03,31.29,13
113,191,Contracts,2025-10-13,7.27,56
114,1719,Labor,2025-05-01,32.78,19
115,831,Contracts,2025-04-09,26.47,70
116,1178,Divorce,2025-03-02,35.99,28
117,2099,Labor,2025-09-29,23.21,22
118,2586,Immigration,2025-02-18,24.06,28
119,2326,Labor,2025-11-13,13.72,80
120,451,Divorce,2025-07-05,91.65,33
121,1887,Labor,2025-10-04,18.12,45
122,334,Divorce,2025-09-17,21.25,48
123,765,Labor,2025-04-23,15.98,63
124,1535,Labor,2025-08-26,2.69,26
125,2554,Real Estate,2025-11-17,6.47,1
126,482,Contracts,2025-12-04,27.17,62
127,2408,Criminal,2025-04-17,17.53,72
128,2751,Real Estate,2025-05-22,4.96,3
129,2193,Real Estate,2025-01-28,39.56,77
130,553,Contracts,2025-04-10,38.72,5
131,76,Real Estate,2025-02-27,34.47,45
132,673,Divorce,2025-03-18,25.72,12
133,2336,Real Estate,2025-12-17,68.26,48
134,1173,Criminal,2025-08-31,16.5,14
135,1461,Divorce,2025-09-12,25.62,53
136,1090,Immigration,2025-04-01,8.78,45
137,1351,Contracts,2025-03-23,5.65,32
138,1999,Contracts,2025-12-10,61.96,30
139,2591,Contracts,2025-01-23,34.4,12
140,1884,Divorce,2025-01-28,31.32,44
141,937,Contracts,2025-11-27,88.65,25
142,199,Contracts,2025-07-06,4.46,42
143,2468,Criminal,2025-05-26,7.22,21
144,1098,Labor,2025-04-18,78.43,61
145,111,Immigration,2025-08-11,26.27,66
146,2142,Labor,2025-05-09,25.83,21
147,2925,Labor,2025-06-21,18.26,26
148,2408,Contracts,2025-11-12,24.94,32
149,297,Divorce,2025-08-21,32.94,17
150,2309,Contracts,2025-01-23,58.27,4
151,2773,Labor,2025-02-23,71.03,39
152,318,Criminal,2025-01-27,42.89,15
153,272,Contracts,2025-10-03,13.63,33
154,2256,Contracts,2025-04-01,50.19,61
155,1368,Contracts,2025-03-22,32.65,14
156,2926,Divorce,2025-01-15,30.36,47
157,2451,Criminal,2025-09-06,14.84,2
158,1659,Criminal,2025-09-21,23.25,66
159,1701,Criminal,2025-03-01,16.96,48
160,1600,Criminal,2025-02-06,2.43,64
161,443,Labor,2025-05-01,29.76,66
162,609,Contracts,2025-08-16,79.95,48
163,1093,Immigration,2025-10-31,14.41,18
164,2517,Criminal,2025-10-24,30.86,51
165,2858,Real Estate,2025-06-16,10.32,4
166,1945,Real Estate,2025-08-03,46.53,33
167,2872,Immigration,2025-04-12,59.7,23
168,943,Labor,2025-12-13,3.32,53
169,1365,Real Estate,2025-06-16,21.43,13
170,2924,Real Estate,2025-04-28,17.67,71
171,2509,Real Estate,2025-02-26,20.87,58
172,1458,Labor,2025-06-16,44.51,63
173,1365,Contracts,2025-04-27,20.52,65
174,2139,Labor,2025-02-20,52.71,42
175,289,Divorce,2025-05-02,2.36,40
176,2842,Divorce,2025-07-31,28.34,21
177,2020,Real Estate,2025-04-13,30.3,80
178,591,Real Estate,2025-07-12,8.01,33
179,2604,Contracts,2025-04-23,73.21,70
180,1730,Immigration,2025-02-07,18.62,42
181,2631,Real Estate,2025-08-30,39.54,37
182,548,Divorce,2025-10-27,13.32,72
183,558,Real Estate,2025-09-06,11.01,1
184,2994,Contracts,2025-01-28,43.51,77
185,224,Divorce,2025-08-12,12.16,26
186,2819,Real Estate,2025-03-16,20.98,80
187,1522,Contracts,2025-04-21,14.51,39
188,1655,Contracts,2025-11-09,41.69,47
189,1953,Divorce,2025-08-21,17.31,56
190,1049,Divorce,2025-04-02,8.99,58
191,677,Immigration,2025-07-18,33.02,28
192,2212,Divorce,2025-07-11,68.01,57
193,2339,Contracts,2025-03-11,46.19,71
194,2093,Divorce,2025-08-23,47.1,72
195,368,Divorce,2025-04-10,14.95,45
196,1235,Contracts,2025-11-20,28.72,65
197,737,Immigration,2025-07-03,18.49,4
198,146,Contracts,2025-05-19,9.88,61
199,923,Divorce,2025-04-14,33.53,61
200,2398,Divorce,2025-06-21,30.9,43
201,799,Divorce,2025-03-07,22.41,19
202,2883,Immigration,2025-01-17,56.36,1
203,2996,Contracts,2025-12-21,5.84,19
204,1034,Criminal,2025-10-19,38.12,51
205,2568,Labor,2025-01-31,34.08,64
206,1058,Real Estate,2025-05-24,4.14,63
207,2282,Labor,2025-03-11,33.31,29
208,1938,Immigration,2025-02-26,5.48,19
209,524,Contracts,2025-08-27,17.61,43
210,2798,Criminal,2025-08-23,19.41,70
211,1728,Immigration,2025-08-03,13.93,39
212,1888,Contracts,2025-03-29,13.27,23
213,386,Divorce,2025-06-25,14.29,1
214,2321,Immigration,2025-04-23,27.1,61
215,844,Real Estate,2025-06-01,51.42,79
216,2375,Labor,2025-11-06,35.84,25
217,2383,Contracts,2025-03-22,41.3,4
218,514,Criminal,2025-11-23,65.19,1
219,27,Divorce,2025-11-10,57.06,40
220,1946,Criminal,2025-03-29,40.44,21
221,665,Real Estate,2025-10-23,7.35,43
222,2188,Criminal,2025-10-11,17.21,10
223,1729,Criminal,2025-04-28,3.65,66
224,2143,Divorce,2025-02-14,6.86,17
225,2216,Criminal,2025-07-30,18.91,13
226,1541,Divorce,2025-09-25,26.15,10
227,1756,Real Estate,2025-09-08,51.77,52
228,28,Contracts,2025-04-21,42.05,10
229,2632,Divorce,2025-10-30,61.67,47
230,308,Immigration,2025-08-31,10.04,9
231,134,Immigration,2025-08-25,60.14,46
232,2834,Contracts,2025-05-23,35.12,68
233,1994,Labor,2025-01-08,46.65,54
234,704,Criminal,2025-08-08,29.34,68
235,2543,Contracts,2025-05-07,34.69,4
236,355,Criminal,2025-05-07,25.61,75
237,547,Divorce,2025-06-17,20.2,1
238,2686,Criminal,2025-08-11,26.94,59
239,1041,Real Estate,2025-10-24,33.51,25
240,110,Immigration,2025-04-24,75.53,9
241,1499,Contracts,2025-10-30,14.29,25
242,2058,Criminal,2025-03-18,14.62,71
243,563,Contracts,2025-10-21,17.8,26
244,2897,Contracts,2025-01-03,63.94,56
245,1588,Real Estate,2025-08-02,52.06,49
246,2797,Divorce,2025-01-23,30.05,65
247,2657,Criminal,2025-01-21,23.11,61
248,466,Labor,2025-08-29,10.58,9
249,1404,Contracts,2025-09-16,5.98,10
250,177,Divorce,2025-01-18,20.54,11
251,1388,Labor,2025-08-06,9.68,36
252,1766,Contracts,2025-09-29,50.06,56
253,1287,Labor,2025-07-21,28.44,32
254,986,Criminal,2025-09-03,24.43,72
255,2928,Criminal,2025-12-23,8.39,35
256,961,Immigration,2025-02-20,17.95,4
257,895,Contracts,2025-08-20,24.92,62
258,1483,Contracts,2025-09-11,64.43,63
259,2314,Immigration,2025-05-04,26.09,8
260,1311,Criminal,2025-02-12,36.68,76
261,25,Divorce,2025-10-13,13.25,69
262,1209,Labor,2025-01-07,22.1,61
263,427,Contracts,2025-12-21,7.06,63
264,1528,Contracts,2025-07-28,57.05,61
265,1155,Real Estate,2025-04-22,48.63,37
266,2871,Labor,2025-03-09,73.94,4
267,1328,Immigration,2025-07-03,24.81,56
268,1857,Criminal,2025-06-01,3.76,43
269,2503,Immigration,2025-05-03,22.88,21
270,2795,Contracts,2025-11-28,13.52,58
271,1907,Contracts,2025-02-16,28.34,16
272,2620,Criminal,2025-01-09,25.73,53
273,2574,Labor,2025-09-03,20.49,18
274,87,Divorce,2025-12-09,12.87,57
275,1873,Criminal,2025-06-06,49.12,38
276,393,Divorce,2025-03-24,11.04,32
277,2733,Contracts,2025-12-27,29.12,19
278,2562,Divorce,2025-08-24,69.79,48
279,756,Divorce,2025-10-20,46.88,74
280,2208,Criminal,2025-10-26,12.07,26
281,218,Immigration,2025-01-13,30.41,45
282,1445,Contracts,2025-08-21,6.69,45
283,783,Labor,2025-08-26,10.57,15
284,546,Real Estate,2025-03-12,19.69,18
285,1685,Divorce,2025-12-27,21.5,31
286,2007,Contracts,2025-07-27,44.87,15
287,1545,Real Estate,2025-04-05,21.09,15
288,2088,Labor,2025-07-09,25.06,65
289,2074,Real Estate,2025-11-17,43.55,46
290,491,Labor,2025-08-26,12.62,75
291,1049,Immigration,2025-12-27,68.28,16
292,199,Real Estate,2025-11-21,59.3,55
293,371,Labor,2025-01-01,27.26,30
294,91,Immigration,2025-11-18,40.78,41
295,399,Divorce,2025-02-06,27.2,67
296,460,Real Estate,2025-07-17,23.19,17
297,2605,Labor,2025-12-20,30.88,26
298,2273,Contracts,2025-06-20,49.64,73
299,2837,Criminal,2025-09-29,46.27,64
300,2137,Immigration,2025-01-17,14.15,58
301,1366,Real Estate,2025-06-01,24.19,75
302,573,Immigration,2025-08-07,8.9,3
303,1294,Real Estate,2025-05-19,37.01,28
304,2760,Real Estate,2025-12-24,41.12,4
305,2392,Real Estate,2025-11-10,34.84,40
306,1859,Criminal,2025-10-05,118.58,75
307,1199,Real Estate,2025-10-22,28.94,57
308,470,Immigration,2025-04-17,3.4,65
309,912,Divorce,2025-12-17,25.6,47
310,839,Divorce,2025-02-11,11.72,80
311,2834,Contracts,2025-11-14,43.97,34
312,1965,Criminal,2025-06-21,50.69,45
313,1019,Immigration,2025-01-29,20.65,32
314,2586,Contracts,2025-09-21,25.53,44
315,2278,Divorce,2025-12-12,31.77,11
316,1730,Real Estate,2025-07-06,30.94,36
317,2178,Real Estate,2025-01-27,50.82,13
318,1174,Labor,2025-02-26,30.01,57
319,2675,Criminal,2025-07-16,24.46,25
320,166,Labor,2025-07-07,20.77,70
321,2730,Criminal,2025-08-27,7.71,37
322,1692,Criminal,2025-11-13,10.99,4
323,2623,Real Estate,2025-01-21,10.36,26
324,1297,Real Estate,2025-07-07,102.48,13
325,243,Contracts,2025-07-07,23.92,72
326,2416,Divorce,2025-03-31,40.84,51
327,2747,Divorce,2025-11-28,37.08,47
328,627,Real Estate,2025-10-14,3.94,33
329,2306,Divorce,2025-12-27,21.78,80
330,2255,Criminal,2025-02-04,34.33,42
331,1132,Divorce,2025-10-15,2.5,31
332,2304,Immigration,2025-12-30,21.75,40
333,1645,Contracts,2025-04-15,43.25,16
334,2295,Divorce,2025-03-12,18.97,56
335,178,Divorce,2025-06-21,39.01,74
336,1167,Contracts,2025-05-03,12.05,36
337,1101,Contracts,2025-10-04,17.92,80
338,2086,Real Estate,2025-02-28,40.87,56
339,392,Contracts,2025-11-29,22.5,48
340,592,Immigration,2025-09-02,8.88,80
341,2708,Real Estate,2025-10-25,43.47,58
342,1468,Criminal,2025-12-26,30.76,15
343,2842,Labor,2025-04-18,12.53,72
344,931,Divorce,2025-04-26,40.34,15
345,121,Contracts,2025-06-14,20.0,21
346,337,Divorce,2025-06-30,59.77,64
347,1810,Criminal,2025-05-17,50.53,7
348,2732,Labor,2025-09-15,25.73,52
349,2183,Contracts,2025-12-15,35.61,19
350,1260,Real Estate,2025-08-05,57.33,46
351,1059,Real Estate,2025-05-22,25.52,38
352,2417,Contracts,2025-01-28,3.6,13
353,1836,Contracts,2025-02-02,35.31,44
354,54,Criminal,2025-07-10,44.69,22
355,1153,Labor,2025-06-26,45.88,71
356,281,Contracts,2025-08-20,11.82,35
357,1360,Real Estate,2025-09-06,60.37,3
358,249,Labor,2025-09-14,105.71,16
359,2938,Contracts,2025-09-27,45.27,45
360,1807,Labor,2025-03-04,19.77,16
361,587,Criminal,2025-08-29,32.34,66
362,357,Immigration,2025-12-30,39.0,38
363,487,Contracts,2025-09-30,41.99,24
364,1709,Contracts,2025-12-14,29.05,50
365,1400,Labor,2025-09-30,10.04,57
366,1069,Contracts,2025-05-30,41.33,56
367,1459,Labor,2025-08-20,14.86,66
368,532,Immigration,2025-11-14,19.61,78
369,2805,Labor,2025-07-08,12.61,77
370,207,Contracts,2025-12-11,9.15,73
371,2727,Real Estate,2025-12-21,19.0,62
372,1891,Criminal,2025-02-03,31.1,14
373,285,Labor,2025-04-07,16.37,66
374,1812,Real Estate,2025-08-23,12.13,60
375,938,Labor,2025-02-14,24.96,21
376,1871,Real Estate,2025-02-11,4.44,35
377,2144,Contracts,2025-07-20,1.73,30
378,2032,Criminal,2025-04-02,47.13,39
379,2872,Real Estate,2025-05-28,7.51,25
380,883,Divorce,2025-02-09,26.76,44
381,1804,Labor,2025-02-25,47.54,59
382,2009,Real Estate,2025-03-26,27.2,6
383,1634,Criminal,2025-05-22,13.18,3
384,2558,Criminal,2025-02-27,25.45,36
385,826,Criminal,2025-12-23,14.62,1
386,1901,Immigration,2025-03-17,18.31,34
387,61,Real Estate,2025-09-12,5.77,65
388,1153,Real Estate,2025-03-19,1.82,26
389,2137,Contracts,2025-04-15,17.25,18
390,2018,Divorce,2025-09-24,8.51,36
391,70,Immigration,2025-11-18,35.01,6
392,685,Real Estate,2025-01-12,24.52,75
393,2441,Immigration,2025-05-31,18.36,44
394,2672,Contracts,2025-08-02,72.81,40
395,1176,Labor,2025-12-16,30.66,30
396,1596,Divorce,2025-10-05,27.89,78
397,1255,Immigration,2025-03-09,58.74,74
398,2514,Criminal,2025-08-31,11.03,31
399,1022,Divorce,2025-06-27,16.01,58
400,432,Labor,2025-08-04,9.84,55
401,935,Real Estate,2025-08-16,24.16,36
402,274,Real Estate,2025-11-27,86.91,79
403,1372,Immigration,2025-01-11,16.16,30
404,1332,Contracts,2025-05-30,22.13,48
405,1381,Real Estate,2025-04-07,7.43,78
406,233,Real Estate,2025-02-02,47.79,17
407,1188,Divorce,2025-01-12,66.23,27
408,1328,Labor,2025-04-29,16.44,63
409,885,Criminal,2025-09-24,104.88,77
410,2904,Criminal,2025-11-27,4.07,14
411,803,Contracts,2025-06-21,20.51,26
412,710,Labor,2025-07-30,16.1,43
413,849,Divorce,2025-10-24,25.61,75
414,1630,Criminal,2025-06-25,42.26,1
415,1651,Contracts,2025-12-02,63.52,24
416,1096,Real Estate,2025-11-27,14.08,20
417,1872,Real Estate,2025-06-17,31.27,72
418,1830,Immigration,2025-09-06,28.27,8
419,2202,Divorce,2025-10-31,46.27,30
420,2302,Criminal,2025-12-07,17.92,18
421,692,Immigration,2025-12-23,13.4,77
422,1468,Immigration,2025-09-29,15.04,13
423,8,Immigration,2025-10-08,38.42,48
424,2083,Real Estate,2025-08-16,5.4,60
425,802,Contracts,2025-08-23,15.54,26
426,1162,Contracts,2025-06-05,22.51,9
427,1704,Criminal,2025-10-18,30.61,53
428,1132,Immigration,2025-03-09,29.69,71
429,140,Divorce,2025-06-06,10.23,9
430,2203,Contracts,2025-03-29,7.26,26
431,659,Labor,2025-05-14,32.76,33
432,313,Contracts,2025-04-27,14.32,33
433,1242,Divorce,2025-09-05,22.14,52
434,566,Immigration,2025-07-10,11.46,40
435,1551,Contracts,2025-05-28,11.27,4
436,1247,Immigration,2025-01-25,35.65,28
437,1957,Real Estate,2025-03-17,26.55,54
438,2749,Divorce,2025-06-30,19.66,68
439,402,Real Estate,2025-05-26,23.68,49
440,2781,Real Estate,2025-08-22,16.17,6
441,2432,Criminal,2025-03-27,24.79,33
442,852,Immigration,2025-11-13,19.1,5
443,2709,Immigration,2025-03-24,64.34,18
444,783,Immigration,2025-12-31,15.44,3
445,343,Immigration,2025-10-02,12.29,2
446,1787,Divorce,2025-05-27,50.42,65
447,2904,Real Estate,2025-04-04,20.02,35
448,576,Criminal,2025-03-31,53.24,51
449,782,Criminal,2025-12-29,36.27,68
450,2551,Real Estate,2025-12-21,11.04,35
451,2614,Real Estate,2025-12-08,25.4,72
452,1339,Labor,2025-03-20,8.44,44
453,2688,Divorce,2025-03-24,61.12,29
454,1211,Criminal,2025-05-02,12.19,36
455,2871,Divorce,2025-03-01,1.48,78
456,1451,Immigration,2025-01-22,9.81,42
457,692,Criminal,2025-06-12,69.97,7
458,659,Contracts,2025-10-22,31.69,13
459,184,Contracts,2025-03-06,25.3,22
460,2522,Criminal,2025-08-14,4.69,57
461,1700,Labor,2025-05-14,73.56,45
462,1204,Contracts,2025-07-09,55.75,54
463,1324,Immigration,2025-04-05,9.72,2
464,1838,Immigration,2025-04-16,4.33,72
465,2145,Divorce,2025-10-15,40.81,57
466,1704,Real Estate,2025-12-29,47.35,75
467,336,Divorce,2025-01-18,32.75,34
468,1465,Immigration,2025-12-07,55.2,44
469,403,Divorce,2025-06-12,29.07,69
470,236,Immigration,2025-06-26,14.32,53
471,606,Divorce,2025-03-17,58.38,62
472,223,Immigration,2025-07-10,13.8,33
473,916,Criminal,2025-08-18,23.92,76
474,623,Criminal,2025-10-04,32.14,69
475,1834,Divorce,2025-03-25,22.41,1
476,2110,Real Estate,2025-10-01,62.85,35
477,1253,Labor,2025-06-04,51.96,25
478,239,Immigration,2025-03-04,14.45,4
479,1750,Labor,2025-01-13,62.58,73
480,1613,Contracts,2025-07-27,4.4,67
481,2606,Contracts,2025-09-13,4.17,10
482,2804,Real Estate,2025-03-16,120.73,20
483,1574,Divorce,2025-08-23,51.93,40
484,607,Immigration,2025-06-13,9.08,67
485,2433,Criminal,2025-03-21,19.86,75
486,943,Contracts,2025-01-03,19.87,15
487,2411,Divorce,2025-10-07,46.05,28
488,1165,Labor,2025-09-17,38.39,35
489,572,Real Estate,2025-06-19,59.94,7
490,977,Criminal,2025-11-28,13.36,54
491,960,Criminal,2025-12-28,48.38,42
492,1476,Contracts,2025-06-01,12.07,38
493,2335,Divorce,2025-08-31,32.51,64
494,1934,Criminal,2025-05-29,32.63,57
495,2949,Labor,2025-10-21,22.38,29
496,887,Labor,2025-12-08,11.99,66
497,694,Real Estate,2025-03-17,35.16,73
498,181,Real Estate,2025-10-17,47.58,6
499,1189,Labor,2025-08-15,97.21,2
500,1513,Labor,2025-06-23,23.25,39
501,2443,Divorce,2025-12-19,20.38,6
502,298,Criminal,2025-02-27,60.72,14
503,2743,Divorce,2025-09-03,58.13,18
504,1190,Real Estate,2025-01-21,6.13,70
505,909,Real Estate,2025-03-13,48.87,76
506,1366,Real Estate,2025-12-14,44.61,22
507,1802,Criminal,2025-10-10,21.58,78
508,2188,Contracts,2025-03-01,29.13,13
509,1268,Real Estate,2025-06-07,6.64,73
510,2014,Real Estate,2025-01-13,47.64,10
511,2798,Divorce,2025-07-25,41.2,27
512,1235,Divorce,2025-11-13,63.89,14
513,1653,Contracts,2025-04-23,13.33,9
514,10,Immigration,2025-08-17,15.37,9
515,2945,Contracts,2025-07-02,22.61,57
516,953,Contracts,2025-02-17,5.22,35
517,71,Contracts,2025-06-17,18.33,26
518,2955,Divorce,2025-01-29,59.37,41
519,2175,Real Estate,2025-11-08,34.46,67
520,2308,Divorce,2025-11-25,5.47,30
521,228,Labor,2025-04-10,13.98,29
522,2493,Labor,2025-10-26,13.11,68
523,2005,Immigration,2025-09-27,73.35,14
524,778,Real Estate,2025-04-24,38.12,52
525,1239,Contracts,2025-05-23,59.45,39
526,1413,Real Estate,2025-04-11,3.76,21
527,1981,Labor,2025-01-12,23.72,71
528,2288,Immigration,2025-02-12,13.02,6
529,380,Real Estate,2025-10-03,15.17,55
530,2380,Contracts,2025-08-17,19.3,40
531,926,Immigration,2025-12-13,20.97,70
532,2465,Immigration,2025-12-10,18.39,25
533,165,Divorce,2025-02-14,7.04,4
534,2898,Contracts,2025-09-20,74.44,34
535,2011,Divorce,2025-07-21,27.08,22
536,239,Labor,2025-04-10,90.37,56
537,2327,Criminal,2025-09-09,56.63,46
538,2118,Real Estate,2025-06-12,15.59,56
539,1799,Criminal,2025-11-05,56.41,78
540,19,Contracts,2025-11-06,8.15,75
541,2286,Divorce,2025-09-19,15.74,27
542,911,Contracts,2025-01-29,20.04,35
543,2118,Contracts,2025-12-08,25.2,16
544,198,Labor,2025-07-04,16.48,20
545,2892,Contracts,2025-07-23,22.71,15
546,194,Real Estate,2025-03-17,31.4,78
547,132,Labor,2025-08-07,23.61,72
548,2423,Criminal,2025-07-09,20.66,24
549,1094,Contracts,2025-07-17,51.13,62
550,767,Criminal,2025-07-10,55.69,80
551,2794,Real Estate,2025-01-07,35.8,44
552,1469,Real Estate,2025-05-26,11.84,14
553,2419,Real Estate,2025-06-26,8.26,73
554,1464,Criminal,2025-06-29,24.78,77
555,1893,Criminal,2025-06-07,14.26,51
556,230,Divorce,2025-08-17,31.65,22
557,1107,Labor,2025-10-15,10.13,32
558,755,Immigration,2025-02-14,56.51,80
559,1543,Contracts,2025-04-21,76.81,25
560,1462,Labor,2025-08-16,25.64,49
561,1490,Real Estate,2025-08-01,20.01,23
562,2972,Contracts,2025-08-15,82.59,37
563,2231,Divorce,2025-05-28,41.49,3
564,2403,Labor,2025-03-25,71.39,60
565,1775,Real Estate,2025-08-06,24.76,59
566,565,Contracts,2025-08-01,12.11,23
567,1619,Contracts,2025-03-13,25.77,33
568,1708,Real Estate,2025-10-28,51.26,54
569,2076,Criminal,2025-11-03,40.82,39
570,814,Labor,2025-02-14,21.96,25
571,451,Contracts,2025-03-15,8.68,63
572,487,Criminal,2025-04-17,20.38,59
573,1691,Divorce,2025-06-05,8.82,31
574,2001,Contracts,2025-09-01,82.05,49
575,207,Contracts,2025-09-26,2.52,60
576,1268,Divorce,2025-06-21,13.33,64
577,679,Divorce,2025-02-03,20.01,38
578,2262,Immigration,2025-10-30,39.14,71
579,1108,Immigration,2025-07-12,30.65,77
580,2075,Contracts,2025-02-15,4.32,8
581,1526,Real Estate,2025-01-04,14.92,13
582,2863,Divorce,2025-07-29,18.06,26
583,2868,Criminal,2025-11-24,18.19,10
584,69,Divorce,2025-05-20,29.29,56
585,2242,Contracts,2025-08-01,61.9,4
586,2345,Contracts,2025-03-31,6.5,31
587,1586,Labor,2025-10-12,28.31,17
588,557,Criminal,2025-08-25,8.53,8
589,1656,Labor,2025-12-30,47.09,52
590,967,Divorce,2025-10-18,34.7,37
591,292,Labor,2025-03-12,4.51,20
592,1736,Contracts,2025-04-13,44.75,47
593,603,Real Estate,2025-04-06,27.64,74
594,326,Divorce,2025-07-15,5.13,51
595,1176,Contracts,2025-05-29,22.76,58
596,676,Divorce,2025-10-11,34.53,44
597,1157,Labor,2025-09-09,131.09,11
598,1015,Labor,2025-01-22,9.73,12
599,1940,Immigration,2025-06-04,3.81,10
600,181,Divorce,2025-10-27,14.9,77
601,2816,Immigration,2025-06-05,30.67,54
602,361,Divorce,2025-09-10,30.79,34
603,2472,Labor,2025-10-14,25.26,30
604,610,Divorce,2025-08-26,24.54,15
605,1895,Immigration,2025-04-25,21.67,8
606,2172,Labor,2025-01-14,20.22,40
607,2226,Immigration,2025-01-02,64.59,22
608,330,Divorce,2025-03-20,11.16,5
609,1777,Real Estate,2025-05-15,16.32,20
610,1250,Divorce,2025-06-03,6.39,49
611,163,Divorce,2025-11-24,32.07,52
612,1856,Contracts,2025-11-22,50.12,66
613,1957,Real Estate,2025-08-30,26.01,19
614,813,Labor,2025-03-05,66.96,14
