session_id,user_id,session_date,session_duration_sec,pages_viewed
90,907,2025-11-23,553,6
91,921,2025-01-05,300,9
92,689,2025-12-26,266,10
93,177,2025-03-29,576,7
94,2265,2025-02-12,613,9
95,1035,2025-09-13,519,5
96,1470,2025-08-11,417,4
97,630,2025-11-27,173,5
98,164,2025-06-19,252,7
99,2101,2025-10-17,284,9
100,2266,2025-02-18,289,6
101,824,2025-09-28,591,7
102,2433,2025-01-22,558,8
103,56,2025-04-28,510,6
104,118,2025-04-19,331,11
105,2948,2025-12-21,266,3
106,798,2025-10-18,692,7
107,780,2025-09-01,934,5
108,2851,2025-05-19,484,9
109,2893,2025-01-24,301,3
110,1439,2025-02-08,581,5
111,1894,2025-12-17,354,5
112,2903,2025-05-24,407,8
113,708,2025-10-06,324,9
114,1104,2025-10-16,930,6
115,22,2025-12-03,649,6
116,1501,2025-01-17,555,5
117,843,2025-04-02,130,9
118,1761,2025-06-11,376,6
119,1117,2025-01-09,520,5
120,192,2025-04-17,222,7
121,1019,2025-10-28,545,3
122,1127,2025-03-15,218,7
123,396,2025-12-31,360,8
124,2688,2025-07-23,581,5
125,1019,2025-02-09,429,8
126,567,2025-06-03,349,4
127,231,2025-03-25,773,8
128,874,2025-10-16,538,3
129,2622,2025-05-04,543,4
130,240,2025-10-18,525,6
131,90,2025-07-19,493,5
132,2280,2025-12-13,551,6
133,457,2025-10-04,809,7
134,2281,2025-06-19,591,5
135,354,2025-07-16,122,8
136,1005,2025-03-13,557,6
137,1357,2025-12-19,512,8
138,439,2025-02-10,834,8
139,1399,2025-09-14,167,4
140,345,2025-06-27,271,5
141,2712,2025-01-28,956,8
142,657,2025-02-20,380,7
143,2178,2025-08-12,160,6
144,2189,2025-04-29,436,4
145,2463,2025-02-08,261,7
146,1117,2025-06-24,506,7
147,626,2025-11-06,261,7
148,284,2025-11-11,684,6
149,1980,2025-11-01,611,4
150,1679,2025-07-23,496,5
151,223,2025-06-17,368,7
152,744,2025-01-16,591,9
153,463,2025-11-21,655,2
154,1569,2025-05-20,423,4
155,1706,2025-08-19,334,5
156,1164,2025-09-09,513,9
157,2405,2025-04-27,388,8
158,1737,2025-07-02,433,6
159,1047,2025-10-11,559,10
160,2907,2025-07-12,219,4
161,665,2025-08-10,643,10
162,1357,2025-04-06,410,8
163,1015,2025-12-15,134,6
164,2133,2025-10-27,280,9
165,2669,2025-12-05,225,5
166,1055,2025-07-14,453,7
167,1765,2025-02-13,405,5
168,2288,2025-11-13,295,6
169,1914,2025-06-01,1096,5
170,363,2025-05-07,414,5
171,2870,2026-01-01,366,3
172,1413,2025-02-07,339,7
173,668,2025-02-12,940,9
174,1881,2025-05-18,218,6
175,1395,2025-03-20,299,10
176,99,2025-07-14,890,6
177,2095,2025-12-31,465,3
178,2887,2025-11-21,320,5
179,422,2025-03-20,922,6
180,1504,2025-07-19,503,2
181,62,2025-06-12,462,6
182,1133,2025-07-04,251,5
183,1703,2025-02-24,330,7
184,598,2025-02-16,154,5
185,392,2025-01-03,520,4
186,1076,2025-06-07,744,6
187,2651,2025-08-16,241,5
188,1313,2025-07-04,410,11
189,2030,2025-05-19,373,4
190,2385,2025-02-22,182,5
191,810,2025-03-09,673,5
192,1406,2025-02-14,154,5
193,2800,2025-04-06,296,8
194,1160,2025-08-09,1126,5
195,1532,2025-08-18,571,6
196,1386,2025-10-13,384,6
197,881,2025-10-12,165,5
198,1600,2025-09-20,681,10
199,2683,2025-07-28,789,8
200,254,2025-02-22,178,4
201,2068,2025-01-14,567,7
202,2576,2025-02-15,676,11
203,1169,2025-07-01,768,11
204,1232,2025-10-11,447,3
205,2424,2025-02-17,360,8
206,166,2025-11-02,178,5
207,1574,2025-11-03,343,8
208,2909,2025-06-16,395,3
209,617,2025-07-17,218,6
210,2660,2025-01-07,314,5
211,1626,2025-05-30,444,4
212,503,2025-07-31,284,6
213,913,2025-07-18,364,4
214,2127,2025-02-13,433,6
215,585,2025-10-14,434,6
216,1959,2025-05-05,254,5
217,2736,2025-10-20,266,7
218,396,2025-09-24,181,5
219,1632,2025-03-28,760,5
220,1881,2025-12-17,363,6
221,402,2025-07-14,302,6
222,975,2025-03-28,407,6
223,224,2025-03-13,666,5
224,518,2025-05-18,371,3
225,2682,2025-06-04,374,6
226,236,2025-05-18,157,5
227,116,2025-09-10,949,8
228,226,2025-03-16,498,10
229,2278,2025-02-02,99,5
230,182,2025-03-27,187,9
231,1342,2025-08-11,340,6
232,210,2025-05-22,580,8
233,1416,2025-08-04,395,3
234,2144,2025-06-03,354,4
235,894,2025-09-05,989,5
236,1882,2025-02-09,452,11
237,2804,2025-07-04,202,8
238,1110,2025-05-09,588,8
239,2463,2025-05-07,512,5
240,2027,2025-11-17,326,8
241,394,2025-09-11,614,4
242,2744,2025-11-01,754,6
243,844,2025-11-12,708,5
244,1525,2025-04-11,407,3
245,604,2025-08-23,407,6
246,582,2025-02-24,955,12
247,2043,2025-03-11,223,7
248,1940,2025-06-05,229,11
249,133,2025-01-04,477,7
250,2839,2025-07-22,634,10
251,2697,2025-06-20,173,6
252,2269,2025-11-14,910,4
253,976,2025-07-14,901,7
254,1814,2025-06-18,672,7
255,1544,2025-08-14,355,4
256,2836,2025-06-21,281,5
257,2739,2025-08-09,177,8
258,1358,2025-11-30,254,2
259,39,2025-11-01,420,4
260,1317,2025-03-11,905,3
261,2738,2025-06-03,362,5
262,162,2025-06-14,514,5
263,1910,2025-11-05,453,8
264,1128,2025-12-22,537,9
265,2209,2025-04-13,300,4
266,1659,2025-09-03,291,6
267,1964,2025-06-10,927,3
268,1058,2025-04-01,430,6
269,2290,2025-07-23,371,6
270,967,2025-06-13,307,11
271,890,2025-05-30,575,5
272,2161,2025-12-22,630,5
273,2366,2025-11-21,294,6
274,2071,2025-09-09,426,5
275,2872,2025-10-22,852,5
276,2749,2025-05-05,345,5
277,1667,2025-06-16,256,3
278,1442,2025-07-12,521,5
279,1068,2025-05-24,440,6
280,128,2025-07-21,309,7
281,2924,2025-07-06,675,7
282,158,2025-02-28,308,7
283,827,2025-10-16,312,6
284,1891,2025-04-13,281,7
285,2900,2025-10-31,251,4
286,512,2025-10-07,174,8
287,2093,2025-04-03,142,6
288,2267,2025-12-16,275,5
289,443,2025-10-09,544,5
290,2363,2025-01-14,372,9
291,2225,2025-08-25,755,5
292,2276,2025-12-29,335,5
293,1727,2025-04-18,509,4
294,2007,2025-08-13,127,7
295,1696,2025-05-30,179,4
296,267,2025-12-21,200,5
297,2918,2025-02-05,270,4
298,838,2025-07-29,636,5
299,489,2025-12-11,393,4
300,702,2025-09-13,515,4
301,687,2025-03-13,337,5
302,996,2025-11-21,505,3
303,357,2025-06-05,172,10
304,872,2025-05-04,435,3
305,1974,2025-05-10,114,6
306,2252,2025-12-04,339,6
307,552,2025-03-20,293,8
308,1811,2025-08-05,507,6
309,323,2025-07-13,156,8
310,2642,2025-02-07,217,6
311,2229,2025-08-18,672,4
312,2547,2025-11-03,296,3
313,83,2025-09-03,185,6
314,2351,2025-10-26,452,8
315,262,2025-07-25,305,7
316,784,2025-10-01,435,5
317,1224,2025-09-17,258,8
318,914,2025-12-21,955,5
319,2740,2025-08-03,348,7
320,944,2025-10-06,458,5
321,2731,2025-01-19,399,8
322,1319,2025-07-04,146,6
323,1536,2025-12-26,227,5
324,689,2025-10-02,144,5
325,2444,2025-11-01,162,8
326,1773,2025-11-23,849,5
327,839,2025-02-13,463,7
328,878,2025-02-25,738,4
329,2871,2025-05-08,443,9
330,49,2025-12-03,676,4
331,2837,2025-12-07,239,5
332,293,2025-07-01,287,4
333,1652,2025-03-27,498,7
334,536,2025-11-28,226,7
335,311,2025-11-10,869,5
336,537,2025-01-23,374,5
337,1927,2025-10-16,727,4
338,2687,2025-11-27,260,6
339,234,2025-12-13,553,5
340,1233,2025-11-28,337,5
341,2653,2025-07-24,273,5
342,2142,2025-06-19,797,4
343,2375,2025-08-09,162,6
344,2273,2025-02-24,709,4
345,967,2025-01-06,559,5
346,890,2025-02-20,171,8
347,2059,2025-05-13,552,2
348,35,2025-04-24,332,6
349,447,2025-09-19,275,6
350,1764,2025-09-23,316,7
351,2489,2025-10-13,196,5
352,2701,2025-10-25,82,4
353,1559,2025-12-19,957,6
354,595,2025-10-22,446,7
355,2026,2025-04-24,991,6
356,2277,2025-08-17,221,4
357,344,2025-07-11,364,9
358,1104,2025-07-20,169,8
359,1420,2025-08-26,540,7
360,1314,2025-12-14,402,2
361,1479,2025-10-29,302,3
362,1152,2025-12-20,160,2
363,2957,2025-09-14,434,5
364,1922,2025-03-19,758,2
365,1383,2025-06-26,502,4
366,2575,2025-01-13,742,7
367,2123,2025-09-05,869,3
368,1570,2025-02-23,417,8
369,1895,2025-06-01,283,9
370,2244,2025-08-01,556,4
371,1867,2025-02-13,548,8
372,29,2025-03-01,482,5
373,706,2025-03-14,585,6
374,1021,2025-06-28,288,11
375,2064,2025-06-09,277,7
376,1447,2025-06-25,685,7
377,2853,2025-08-22,329,3
378,2988,2025-04-16,515,5
379,1660,2025-09-24,428,10
380,967,2025-09-05,376,7
381,2277,2025-06-28,568,3
382,2763,2025-09-01,494,6
383,573,2025-02-19,342,7
384,1607,2025-08-13,671,5
385,615,2025-12-23,424,9
386,326,2025-08-20,517,6
387,2923,2025-06-13,211,3
388,359,2025-02-04,203,4
389,1811,2025-06-03,164,8
390,2372,2025-01-23,397,5
391,1722,2025-12-30,216,6
392,1350,2025-02-28,384,7
393,165,2025-01-12,799,12
394,1597,2025-06-25,249,8
395,1628,2025-11-28,432,8
396,2846,2025-02-25,404,9
397,2503,2025-12-13,153,6
398,1177,2025-03-26,241,12
399,1151,2025-05-05,178,8
400,193,2025-09-22,366,4
401,2675,2025-03-31,996,7
402,2578,2025-10-10,277,4
403,92,2025-03-23,316,5
404,139,2025-06-19,204,6
405,481,2025-10-14,351,12
406,2497,2025-08-07,991,6
407,1357,2025-08-25,498,4
408,2917,2025-04-29,342,6
409,340,2025-07-27,889,8
410,1076,2025-11-19,701,10
411,2514,2025-04-05,222,12
412,2766,2025-04-06,300,6
413,799,2025-11-24,172,8
414,475,2025-12-03,472,4
415,2449,2025-08-10,529,6
416,1463,2025-07-22,357,4
417,605,2025-01-15,581,8
418,2980,2025-11-11,473,8
419,2970,2025-04-12,742,7
420,821,2025-08-19,494,8
421,2705,2025-10-31,357,5
422,598,2025-08-08,403,4
423,1533,2025-07-19,389,7
424,514,2025-01-03,340,2
425,1527,2025-12-27,399,3
426,1878,2025-04-20,275,6
427,1700,2025-04-16,146,7
428,1030,2025-05-23,257,5
429,500,2025-12-27,499,5
430,1685,2025-02-02,444,10
431,717,2025-10-23,345,10
432,1142,2025-02-22,199,3
433,1509,2025-10-02,126,7
434,2649,2025-04-06,458,9
435,666,2025-07-07,480,8
436,2516,2025-06-16,397,7
437,2209,2025-04-11,564,6
438,2318,2025-08-23,340,5
439,1080,2025-02-28,439,8
440,228,2025-05-15,184,9
441,2897,2025-12-10,524,4
442,149,2025-09-08,599,3
443,1070,2025-09-28,287,4
444,1168,2025-11-24,869,7
445,632,2025-06-10,374,9
446,1364,2025-11-02,271,9
447,413,2025-07-18,338,6
448,1756,2025-11-09,440,5
449,520,2025-07-20,898,5
450,1368,2025-10-28,300,4
451,2435,2025-02-28,362,7
452,2323,2025-06-28,411,11
453,2401,2025-06-30,181,11
454,1103,2025-08-23,298,5
455,598,2025-11-13,337,5
456,1660,2025-03-30,316,6
457,1686,2025-12-11,291,4
458,2606,2025-12-28,492,6
459,2161,2025-06-02,366,7
460,2189,2025-11-11,290,5
461,1925,2025-10-30,313,5
462,730,2025-02-13,460,6
463,589,2025-12-11,292,5
464,2459,2025-03-10,493,5
465,377,2025-06-10,504,6
466,1408,2025-03-02,373,5
467,1870,2025-05-03,374,3
468,751,2025-06-06,485,5
469,627,2025-03-01,567,3
470,1630,2025-04-04,314,6
471,995,2025-07-11,490,11
472,1584,2025-12-22,407,2
473,703,2025-03-14,219,5
474,2510,2025-09-19,471,3
475,2060,2025-07-18,809,5
476,1180,2025-08-03,383,3
477,477,2025-11-02,833,4
478,2987,2025-03-12,162,9
479,401,2025-10-22,453,6
480,2856,2025-07-16,287,3
481,2225,2025-08-05,416,5
482,57,2025-04-06,185,4
483,1876,2025-09-07,702,8
484,448,2025-11-22,237,11
485,203,2025-10-03,287,8
486,1657,2025-12-22,402,7
487,738,2025-11-27,249,2
488,202,2025-03-30,245,5
489,1354,2025-10-12,403,5
490,2411,2025-03-27,414,9
491,892,2025-09-08,338,9
492,2502,2025-05-28,530,5
493,2404,2025-03-13,360,4
494,216,2025-04-06,196,7
495,2603,2025-06-11,112,3
496,2935,2025-08-19,362,3
497,23,2025-11-14,188,5
498,2203,2025-01-28,552,5
499,1210,2025-07-03,54,10
500,2297,2025-01-05,489,6
501,749,2025-09-06,220,8
502,805,2025-03-11,540,6
503,134,2025-04-10,214,3
504,321,2025-07-16,902,8
505,2438,2025-10-15,881,4
506,434,2025-09-16,661,10
507,1046,2025-12-01,486,7
508,873,2025-09-11,124,5
509,2906,2025-07-29,186,6
510,2099,2025-12-17,262,4
511,2224,2025-09-09,224,4
512,2918,2025-08-01,494,7
513,253,2025-12-30,249,3
514,966,2025-08-16,490,8
515,739,2025-09-08,523,10
516,1130,2025-03-27,670,5
517,1340,2025-02-12,778,6
518,302,2025-10-17,454,2
519,2596,2025-01-16,769,9
520,1978,2025-04-23,303,3
521,2764,2025-05-30,426,6
522,2827,2025-01-17,784,6
523,2316,2025-05-21,491,6
524,551,2025-04-26,255,13
525,1479,2025-10-03,391,3
526,1316,2025-05-28,932,3
527,1588,2025-03-28,133,7
528,1823,2025-08-23,320,8
529,1825,2025-10-17,1367,5
530,1165,2025-09-11,530,5
531,314,2025-10-09,479,7
532,184,2025-09-19,264,6
533,1688,2025-02-27,295,7
534,713,2025-10-21,292,5
535,2176,2025-02-28,359,7
536,1311,2025-05-18,613,8
537,2748,2025-10-06,618,5
538,2434,2025-07-07,511,4
539,271,2025-10-05,383,6
540,1795,2025-01-22,101,5
541,811,2025-08-14,727,5
542,2463,2025-10-07,574,8
543,198,2025-04-22,733,10
544,1080,2025-08-06,267,1
545,2879,2025-02-22,298,3
546,1227,2025-12-01,1322,5
547,1645,2025-05-07,147,5
548,628,2025-06-02,542,4
549,604,2025-01-17,672,3
550,1162,2025-08-19,119,9
551,1446,2025-05-15,392,9
552,1081,2025-06-28,350,4
553,1586,2025-02-14,189,6
554,2119,2025-08-13,564,7
555,911,2025-03-02,175,5
556,594,2025-05-02,452,5
557,1396,2025-04-18,279,5
558,600,2025-10-29,67,7
559,514,2025-12-19,294,7
560,1896,2025-06-29,289,6
561,2132,2025-12-30,563,3
562,1067,2025-11-09,568,2
563,2887,2025-11-20,143,6
564,1958,2025-08-08,430,3
565,2654,2025-03-26,287,8
566,810,2025-11-12,427,8
567,2181,2025-03-13,394,4
568,1089,2025-04-16,310,11
569,290,2025-04-16,668,9
570,2424,2025-01-31,189,7
571,769,2025-10-19,256,3
572,2515,2025-06-29,706,6
573,471,2025-09-30,337,10
574,2197,2025-05-24,506,6
575,88,2025-11-02,464,7
576,2444,2025-10-03,461,12
577,790,2025-03-28,310,4
578,1665,2025-06-15,207,8
579,1310,2025-12-27,344,7
580,865,2025-05-30,698,12
581,1294,2025-05-29,222,6
582,24,2025-10-21,131,9
583,1887,2025-05-17,529,5
584,311,2025-09-21,154,7
585,1485,2025-12-14,506,4
586,1232,2025-02-18,238,7
587,2712,2025-03-11,527,9
588,2486,2025-07-30,599,3
589,706,2025-01-31,600,5
590,1360,2025-05-22,590,4
591,422,2025-12-02,438,5
592,1774,2025-03-06,456,9
593,2369,2025-12-26,162,9
594,2635,2025-03-09,363,2
595,947,2025-05-08,341,5
596,1187,2025-03-16,691,8
597,1835,2025-12-31,381,7
598,1565,2025-06-14,299,10
599,849,2025-05-07,449,8
600,1590,2025-12-13,378,11
601,1319,2025-07-21,717,7
602,2090,2025-09-08,176,13
603,1948,2025-03-14,393,9
604,1309,2025-10-23,589,4
605,2987,2025-11-20,176,4
606,387,2025-05-18,296,9
607,2036,2025-11-18,332,3
608,1162,2025-08-01,382,5
609,2026,2025-07-12,114,5
610,2958,2025-08-20,586,6
611,716,2025-02-08,601,7
612,2479,2025-11-21,461,5
613,2602,2025-02-17,225,8
614,2848,2025-07-26,272,8
615,426,2025-09-21,179,7
616,1440,2025-05-23,634,4
617,2074,2025-12-22,231,7
618,385,2025-07-08,226,5
619,56,2025-08-21,268,6
620,2682,2025-09-07,776,5
621,106,2025-06-17,349,6
622,2897,2025-10-25,254,7
623,670,2025-01-02,570,4
624,376,2025-02-17,474,6
625,743,2025-08-23,48,4
626,967,2025-11-22,827,3
627,308,2025-12-07,368,6
628,2139,2025-12-24,683,9
629,802,2025-07-03,613,5
630,110,2025-02-02,443,5
631,1665,2025-10-01,167,7
632,2633,2025-07-23,375,1
633,340,2025-04-22,322,5
634,1589,2025-08-08,900,4
635,979,2025-04-19,201,5
636,2404,2025-09-11,849,5
637,1916,2025-05-18,196,8
638,168,2025-06-15,345,7
639,557,2025-05-26,787,7
640,905,2025-06-22,187,5
641,105,2025-10-08,761,6
642,2048,2025-10-23,756,5
643,2198,2025-03-08,662,11
644,146,2025-10-17,352,6
645,2764,2025-09-06,371,7
646,874,2025-06-25,540,12
647,299,2025-12-16,199,3
648,1737,2025-01-25,783,3
649,646,2025-01-24,359,4
650,2771,2025-02-20,346,7
651,638,2025-11-17,362,7
652,2287,2025-08-24,361,5
653,2512,2025-01-09,320,4
654,2501,2025-03-05,491,9
655,784,2025-03-22,550,4
656,897,2025-08-14,180,7
657,371,2025-08-22,432,6
658,487,2025-01-01,268,4
659,2038,2025-08-08,95,6
660,2213,2025-04-14,398,6
661,1361,2025-12-19,441,4
662,192,2025-03-09,289,4
663,730,2025-11-29,285,6
664,2262,2025-06-04,210,7
665,2622,2025-03-23,171,6
666,957,2025-05-21,253,5
667,381,2025-02-17,221,4
668,2721,2025-12-02,288,7
669,798,2025-07-04,157,5
670,239,2025-05-09,221,9
671,2748,2025-02-12,455,6
672,1106,2025-07-10,528,9
673,1387,2025-12-07,300,4
674,2553,2025-11-29,366,7
675,2250,2025-03-26,844,6
676,2968,2025-01-27,508,5
677,1528,2025-07-22,1134,7
678,1668,2025-11-17,456,5
679,37,2025-06-06,150,5
680,2692,2025-12-25,322,5
681,1997,2025-04-30,304,4
682,1426,2025-08-08,605,7
683,2813,2025-12-02,574,7
684,2754,2025-02-16,378,5
685,2593,2025-12-27,400,8
686,1491,2025-02-18,233,6
687,1225,2025-01-01,602,8
688,2588,2025-04-20,308,2
689,2023,2025-09-02,154,7
690,2442,2025-02-09,253,7
691,833,2025-03-09,311,7
692,597,2025-10-31,415,5
693,2441,2025-04-26,979,8
694,700,2025-09-23,519,8
695,1647,2025-12-15,134,5
696,2019,2025-08-16,650,7
697,441,2025-01-05,431,4
698,1861,2025-01-05,392,4
699,1641,2025-12-23,491,10
700,1530,2025-06-25,420,7
701,2966,2025-03-03,117,5
702,2368,2025-08-05,657,2
703,2601,2025-12-22,110,11
704,1095,2025-03-09,535,2
705,568,2025-09-02,283,5
706,2967,2025-02-06,218,6
707,236,2025-04-28,842,7
708,1305,2025-07-16,447,3
709,1186,2025-02-15,531,3
710,1033,2025-02-22,327,3
711,2108,2025-02-22,595,10
712,2941,2025-06-10,262,7
713,1841,2025-07-08,556,6
714,225,2025-06-03,475,6
715,1843,2025-03-12,433,5
716,2748,2025-07-15,298,8
717,582,2025-03-10,457,8
718,169,2025-11-25,368,6
719,1466,2025-12-13,317,7
720,14,2025-03-15,552,11
721,2212,2025-02-05,258,3
722,1444,2025-09-29,142,4
723,2805,2025-10-16,181,8
724,1871,2025-01-05,622,11
725,1544,2025-11-09,399,7
726,1690,2025-11-29,471,2
727,1572,2025-03-26,341,6
728,1052,2025-08-14,374,8
729,1732,2025-06-29,616,2
730,446,2025-04-20,721,9
731,716,2025-11-18,520,8
732,819,2025-03-19,489,7
733,2152,2025-07-30,228,5
734,2790,2025-11-12,489,6
735,426,2025-12-18,299,4
736,1125,2025-08-15,581,4
737,1565,2025-04-22,411,3
738,2687,2025-02-14,100,4
739,850,2025-02-21,815,7
740,1546,2025-03-13,534,6
741,1130,2025-03-05,918,4
742,1703,2025-10-29,421,4
743,2002,2025-07-16,370,7
744,2817,2025-06-29,229,4
745,277,2025-08-08,253,5
746,1807,2025-06-11,540,5
747,2948,2025-03-13,473,6
748,2236,2025-05-07,322,8
749,1940,2025-05-22,381,12
750,2153,2025-11-27,333,11
751,546,2025-02-13,428,2
752,2428,2025-05-08,250,6
753,110,2025-10-11,491,3
754,545,2025-11-04,172,3
755,2402,2025-11-04,322,2
756,743,2025-11-08,279,6
757,2365,2025-05-26,572,4
758,1290,2025-12-20,494,4
759,1876,2025-01-14,367,6
760,1089,2025-12-04,394,5
761,333,2025-06-04,614,6
762,1537,2025-04-16,726,7
763,1157,2025-09-23,1011,5
764,592,2025-11-07,250,4
765,783,2025-09-18,329,8
766,540,2025-04-07,141,3
767,2783,2025-07-20,711,8
768,1559,2025-06-01,349,7
769,1520,2025-11-27,362,7
770,2669,2025-01-28,1112,3
771,619,2025-05-03,641,2
772,2957,2025-09-11,278,5
773,1834,2025-07-17,287,9
774,992,2025-02-27,460,6
775,2147,2025-05-04,150,9
776,2365,2025-09-13,576,7
777,2171,2025-11-23,332,3
778,2847,2025-11-01,148,3
779,1617,2025-02-06,840,7
780,1519,2025-09-28,873,3
781,2505,2025-01-07,116,7
782,522,2025-07-04,292,4
783,2568,2025-06-12,426,3
784,917,2025-03-09,485,8
785,717,2025-07-18,567,4
786,2363,2025-10-19,345,7
787,2757,2025-08-04,608,6
788,2758,2025-07-07,1014,8
789,1937,2025-10-07,292,5
790,560,2025-12-16,779,10
791,969,2025-03-30,442,5
792,2404,2025-08-30,132,8
793,1078,2025-02-07,190,4
794,890,2025-01-09,283,5
795,793,2025-10-28,442,1
796,2313,2025-02-04,209,8
797,982,2025-01-08,473,3
798,802,2025-05-15,370,8
799,43,2025-04-21,646,10
800,1610,2025-01-21,495,7
801,2910,2025-01-31,475,7
802,1778,2025-07-23,334,6
803,350,2025-09-17,437,4
804,1568,2025-05-27,397,8
805,1130,2025-11-18,361,6
806,2960,2025-12-31,233,5
807,2049,2025-09-14,648,7
808,1781,2025-08-01,426,3
809,584,2025-08-05,555,7
810,432,2025-12-26,426,5
811,1933,2025-07-25,328,4
812,2101,2025-02-12,241,5
813,2988,2025-11-24,381,6
814,2568,2025-10-02,438,5
815,1349,2025-10-03,108,9
816,2195,2025-11-12,625,7
817,2031,2025-03-20,16,7
818,1190,2025-05-23,364,5
819,1163,2025-02-12,543,3
820,2677,2025-06-08,714,7
821,299,2025-02-10,309,4
822,1940,2025-09-19,842,3
823,789,2025-04-15,266,8
824,850,2025-03-21,245,7
825,2226,2025-10-02,780,6
826,2890,2025-06-17,515,6
827,1378,2025-07-20,420,4
828,1178,2025-10-28,463,11
829,1950,2025-11-21,330,7
830,878,2025-11-29,750,6
831,1139,2025-12-15,182,3
832,1578,2025-11-26,290,4
833,2807,2025-02-03,111,8
834,2493,2025-06-08,123,8
835,2756,2025-12-24,332,2
836,2650,2025-08-12,884,5
837,1647,2025-05-03,527,5
838,1904,2025-01-30,435,8
839,1383,2025-05-06,842,5
840,145,2025-02-14,111,5
841,2323,2025-08-11,381,6
842,2557,2025-03-01,662,4
843,1203,2025-08-21,138,9
844,2801,2025-11-10,423,6
845,1862,2025-11-08,770,8
846,1855,2025-01-29,134,8
847,2525,2025-06-08,556,3
848,1867,2025-12-08,395,3
849,1099,2025-12-03,379,9
850,1152,2025-03-31,262,4
851,1735,2025-03-03,201,6
852,2714,2025-01-07,532,6
853,568,2025-12-29,410,3
854,1814,2025-03-12,539,5
855,531,2025-12-26,570,9
856,2207,2025-01-06,220,15
857,1562,2025-03-25,615,6
858,681,2025-09-12,331,8
859,2071,2025-06-27,372,5
860,1071,2025-09-25,533,4
861,2573,2025-09-22,441,9
862,729,2025-05-13,446,7
863,1730,2025-03-27,444,5
864,2192,2025-07-10,196,6
865,668,2025-03-06,290,5
866,1613,2025-05-18,842,3
867,681,2025-03-02,255,8
868,973,2025-01-16,766,10
869,2847,2025-06-21,955,8
870,2133,2025-08-08,83,7
871,2464,2025-05-20,141,6
872,2742,2025-09-26,502,1
873,2530,2025-02-02,596,4
874,2504,2025-05-15,427,5
875,827,2025-12-31,376,7
876,297,2025-10-23,524,6
877,1254,2025-11-18,84,7
878,2998,2025-02-09,278,10
879,2728,2025-09-12,175,5
880,2426,2025-08-22,323,3
881,2469,2025-09-19,812,8
882,2153,2025-07-04,755,9
883,1729,2025-01-29,365,8
884,2025,2025-09-13,680,6
885,330,2025-10-18,215,5
886,2487,2025-03-27,168,5
887,1156,2025-07-08,132,5
888,1891,2025-03-22,124,4
889,382,2025-05-11,676,3
