consultation_id,user_id,lawyer_id,rating,customer_satisfaction,complaint
164,2725,6,4.95,3.69,0
165,2656,50,4.96,4.06,0
166,2556,64,4.68,4.77,0
167,2180,5,4.6,4.69,0
168,2026,43,3.2,3.52,0
169,875,54,5.0,4.02,0
170,2183,65,4.64,4.28,0
171,1326,52,5.0,2.66,0
172,790,65,3.81,4.17,0
173,2947,14,4.73,4.06,0
174,2674,74,4.7,4.06,0
175,466,61,2.69,4.4,0
176,1466,58,4.35,3.52,0
177,27,63,4.4,4.5,0
178,2509,70,3.92,4.31,0
179,1724,42,4.64,5.0,0
180,1814,35,4.51,4.21,0
181,701,66,4.08,5.0,1
182,1150,25,4.13,5.0,0
183,1224,35,3.57,4.43,0
184,2669,32,4.62,4.15,0
185,989,7,4.56,3.79,0
186,1486,2,4.34,4.38,0
