AgeGroup,Gender,Location,Employment,Income,Education,LegalIssue,LegalFrequency,UrgencyScore,FindLawyerMethod,MainDifficulty,TimeToFindLawyer,Satisfaction,AppInterest,PreferredConsultation,PayLikelihood,ConsultBudget,SubscriptionInterest,SubscriptionBudget,TrustFactor,AITrust,NPS
18-24,Male,Ulaanbaatar,Freelancer,2M-4M,Master,Divorce,Once,2,PersonalContact,ComplexProcess,SameDay,3,Yes,InPerson,5,30k-50k,No,20k-50k,SecurePayments,Yes,9
25-34,Male,Other City,Employee,2M-4M,Master,Property,SeveralPerYear,3,PersonalContact,SlowResponse,Week+,1,No,Phone,1,30k-50k,Yes,<20k,Reviews,Yes,6
18-24,Female,Ulaanbaatar,Unemployed,2M-4M,Bachelor,Divorce,FewYears,2,OnlineSearch,HighCost,SeveralDays,1,Yes,Video,4,30k-50k,Maybe,<20k,SecurePayments,No,9
45-54,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Property,SeveralPerYear,4,GovAid,Transparency,SameDay,2,Maybe,InPerson,2,10k-30k,No,50k-100k,SecurePayments,Maybe,7
25-34,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Divorce,Once,1,LawFirm,TrustIssue,SeveralDays,4,Maybe,Chat,5,10k-30k,No,50k-100k,GovPartnership,Maybe,3
35-44,Male,Ulaanbaatar,Employee,1M-2M,Bachelor,Other,Yearly,5,PersonalContact,SlowResponse,Week+,4,Maybe,Chat,5,10k-30k,Maybe,20k-50k,TransparentPricing,Maybe,1
18-24,Female,Ulaanbaatar,Unemployed,4M-6M,Doctorate,Business,FewYears,4,OnlineSearch,ComplexProcess,SameDay,3,Maybe,Chat,5,10k-30k,Maybe,50k-100k,VerifiedLawyers,No,7
25-34,Male,Ulaanbaatar,Employee,Unknown,Master,Business,Yearly,3,PersonalContact,SlowResponse,Week+,2,Yes,InPerson,4,10k-30k,Maybe,20k-50k,Reviews,Yes,3
25-34,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Immigration,Once,2,OnlineSearch,Transparency,SameDay,2,Maybe,InPerson,1,Free,Yes,<20k,Reviews,Maybe,2
18-24,Female,Ulaanbaatar,Freelancer,1M-2M,Bachelor,Business,SeveralPerYear,4,LawFirm,HighCost,Week+,4,Maybe,Chat,4,10k-30k,Maybe,<20k,VerifiedLawyers,Maybe,9
18-24,Female,Rural,Student,<1M,Bachelor,Business,FewYears,2,PersonalContact,SlowResponse,Week+,5,Yes,Video,3,10k-30k,No,20k-50k,VerifiedLawyers,Yes,6
35-44,Male,Ulaanbaatar,Employee,6M+,Bachelor,Divorce,Once,5,OnlineSearch,TrustIssue,SameDay,5,No,Video,5,50k-100k,Yes,<20k,Reviews,Maybe,5
18-24,Male,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Criminal,SeveralPerYear,4,SocialMedia,HighCost,SameDay,2,No,Chat,2,30k-50k,Yes,20k-50k,SecurePayments,Yes,3
35-44,Male,Rural,Business Owner,2M-4M,Master,Property,SeveralPerYear,5,PersonalContact,ComplexProcess,SeveralDays,2,Yes,InPerson,4,10k-30k,Yes,20k-50k,VerifiedLawyers,No,10
25-34,Male,Other City,Unemployed,4M-6M,Bachelor,Criminal,Once,2,PersonalContact,ComplexProcess,Week+,2,Maybe,Chat,4,30k-50k,Yes,<20k,SecurePayments,Maybe,6
25-34,Female,Ulaanbaatar,Employee,<1M,Master,Divorce,Once,5,SocialMedia,ComplexProcess,Week+,4,Yes,Chat,2,30k-50k,Maybe,<20k,SecurePayments,Maybe,4
45-54,Female,Rural,Student,1M-2M,Bachelor,Property,Once,5,GovAid,SlowResponse,SeveralDays,2,Maybe,Phone,2,100k+,Maybe,20k-50k,Reviews,No,6
45-54,Female,Ulaanbaatar,Business Owner,6M+,Bachelor,Criminal,FewYears,5,LawFirm,ComplexProcess,Week+,5,Yes,InPerson,1,10k-30k,Yes,50k-100k,VerifiedLawyers,No,5
25-34,Male,Ulaanbaatar,Business Owner,1M-2M,HighSchool,Business,Once,5,OnlineSearch,Transparency,SeveralDays,3,Maybe,Video,3,100k+,Maybe,<20k,Reviews,Yes,6
18-24,Male,Ulaanbaatar,Employee,4M-6M,HighSchool,Business,FewYears,1,SocialMedia,SlowResponse,Week+,2,Maybe,Chat,2,50k-100k,Maybe,20k-50k,TransparentPricing,Yes,0
18-24,Male,Other City,Employee,2M-4M,Doctorate,Labor,Once,5,LawFirm,TrustIssue,Week+,2,Maybe,Video,1,10k-30k,Maybe,<20k,SecurePayments,Maybe,0
25-34,Male,Other City,Employee,2M-4M,HighSchool,Business,Once,3,LawFirm,TrustIssue,SameDay,4,Maybe,InPerson,3,10k-30k,No,20k-50k,VerifiedLawyers,No,0
35-44,Female,Other City,Employee,<1M,Doctorate,Labor,Once,3,LawFirm,SlowResponse,SameDay,1,Yes,Chat,3,10k-30k,Yes,<20k,Reviews,Yes,9
55+,Female,Ulaanbaatar,Unemployed,2M-4M,Bachelor,Divorce,FewYears,2,LawFirm,TrustIssue,SeveralDays,2,Yes,Phone,1,50k-100k,Yes,50k-100k,VerifiedLawyers,Maybe,8
25-34,Male,Ulaanbaatar,Business Owner,<1M,Bachelor,Divorce,SeveralPerYear,5,PersonalContact,Transparency,SeveralDays,2,Yes,Chat,5,30k-50k,Maybe,<20k,TransparentPricing,Maybe,5
35-44,Male,Ulaanbaatar,Employee,<1M,Bachelor,Divorce,FewYears,5,LawFirm,TrustIssue,SeveralDays,5,Maybe,InPerson,1,Free,Yes,20k-50k,TransparentPricing,No,9
25-34,Male,Ulaanbaatar,Business Owner,4M-6M,Master,Business,Once,4,OnlineSearch,Transparency,<1hr,4,Yes,Video,5,Free,No,50k-100k,GovPartnership,Yes,3
35-44,Female,Ulaanbaatar,Employee,Unknown,Bachelor,Business,Yearly,3,LawFirm,TrustIssue,<1hr,4,Yes,Phone,4,30k-50k,Maybe,100k+,GovPartnership,Maybe,7
18-24,Female,Ulaanbaatar,Employee,1M-2M,Bachelor,Property,Once,2,PersonalContact,Transparency,<1hr,5,Maybe,Video,1,10k-30k,Maybe,<20k,VerifiedLawyers,No,0
25-34,Male,Other City,Unemployed,1M-2M,Bachelor,Property,FewYears,4,PersonalContact,Transparency,SameDay,4,Maybe,Chat,1,10k-30k,No,<20k,SecurePayments,No,3
18-24,Female,Ulaanbaatar,Freelancer,<1M,Master,Immigration,Once,1,SocialMedia,TrustIssue,Week+,1,No,InPerson,3,10k-30k,No,20k-50k,SecurePayments,Maybe,1
25-34,Female,Ulaanbaatar,Student,1M-2M,Master,Immigration,Yearly,3,PersonalContact,HighCost,SameDay,2,Maybe,Chat,5,50k-100k,No,100k+,TransparentPricing,No,10
25-34,Female,Ulaanbaatar,Employee,4M-6M,Bachelor,Property,Yearly,3,OnlineSearch,SlowResponse,<1hr,2,Yes,Chat,2,50k-100k,Maybe,20k-50k,Reviews,No,10
35-44,Male,Ulaanbaatar,Unemployed,1M-2M,HighSchool,Other,FewYears,3,LawFirm,SlowResponse,SeveralDays,1,No,InPerson,1,30k-50k,Maybe,50k-100k,TransparentPricing,Yes,2
18-24,Female,Ulaanbaatar,Freelancer,1M-2M,HighSchool,Property,Once,2,SocialMedia,SlowResponse,SeveralDays,3,Yes,Phone,3,100k+,Maybe,<20k,VerifiedLawyers,Yes,10
18-24,Male,Other City,Employee,<1M,Doctorate,Divorce,FewYears,3,OnlineSearch,Transparency,SameDay,5,Maybe,Chat,5,50k-100k,Yes,20k-50k,VerifiedLawyers,Yes,8
25-34,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Business,Once,2,PersonalContact,Transparency,SameDay,5,Yes,Chat,3,30k-50k,No,<20k,GovPartnership,No,7
35-44,Male,Ulaanbaatar,Business Owner,2M-4M,Doctorate,Other,Once,2,OnlineSearch,ComplexProcess,SameDay,3,Maybe,Video,1,50k-100k,Yes,20k-50k,GovPartnership,No,9
45-54,Male,Ulaanbaatar,Unemployed,<1M,Bachelor,Immigration,FewYears,5,OnlineSearch,HighCost,SeveralDays,1,Yes,Chat,4,Free,No,50k-100k,Reviews,No,0
25-34,Male,Ulaanbaatar,Employee,1M-2M,Master,Property,Once,5,LawFirm,HighCost,Week+,3,Yes,Chat,5,30k-50k,Maybe,<20k,VerifiedLawyers,No,9
45-54,Male,Rural,Employee,4M-6M,Bachelor,Labor,Yearly,4,PersonalContact,TrustIssue,SeveralDays,3,Yes,InPerson,1,10k-30k,Maybe,50k-100k,SecurePayments,Maybe,10
25-34,Male,Ulaanbaatar,Employee,<1M,Bachelor,Business,Once,2,PersonalContact,TrustIssue,SameDay,3,Yes,Phone,3,10k-30k,No,20k-50k,Reviews,Maybe,6
18-24,Male,Rural,Freelancer,2M-4M,Bachelor,Immigration,Once,2,GovAid,TrustIssue,SameDay,3,Yes,Video,2,50k-100k,No,20k-50k,VerifiedLawyers,Yes,8
25-34,Female,Ulaanbaatar,Employee,2M-4M,Master,Criminal,Once,2,OnlineSearch,ComplexProcess,SeveralDays,1,Yes,Video,1,10k-30k,Yes,100k+,TransparentPricing,Maybe,10
18-24,Female,Ulaanbaatar,Employee,<1M,Bachelor,Immigration,FewYears,5,PersonalContact,Transparency,<1hr,1,Yes,Video,4,10k-30k,No,<20k,SecurePayments,No,6
35-44,Male,Other City,Employee,2M-4M,Master,Business,Once,3,OnlineSearch,TrustIssue,SameDay,3,Yes,Phone,4,Free,Yes,20k-50k,GovPartnership,Maybe,2
25-34,Male,Ulaanbaatar,Student,<1M,Bachelor,Divorce,Yearly,1,PersonalContact,ComplexProcess,Week+,2,Yes,Chat,4,30k-50k,Maybe,<20k,GovPartnership,Maybe,9
25-34,Female,Other City,Business Owner,1M-2M,HighSchool,Labor,SeveralPerYear,4,LawFirm,TrustIssue,SameDay,1,Maybe,Chat,5,30k-50k,Yes,<20k,GovPartnership,No,10
25-34,Female,Ulaanbaatar,Employee,6M+,HighSchool,Business,Yearly,2,GovAid,SlowResponse,<1hr,3,Yes,Video,1,30k-50k,Maybe,<20k,GovPartnership,Maybe,2
25-34,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Property,Once,3,LawFirm,HighCost,SameDay,5,No,Chat,5,10k-30k,Yes,<20k,TransparentPricing,No,9
18-24,Female,Ulaanbaatar,Freelancer,1M-2M,Master,Divorce,Once,3,OnlineSearch,Transparency,SameDay,3,Yes,Video,4,10k-30k,Maybe,20k-50k,Reviews,No,2
55+,Female,Ulaanbaatar,Employee,1M-2M,Master,Business,Yearly,5,OnlineSearch,Transparency,Week+,5,Yes,Video,3,10k-30k,Maybe,<20k,Reviews,Yes,2
45-54,Female,Rural,Employee,<1M,Bachelor,Divorce,Once,1,PersonalContact,SlowResponse,SameDay,2,Maybe,Phone,3,50k-100k,Maybe,100k+,SecurePayments,No,2
18-24,Female,Ulaanbaatar,Student,<1M,Bachelor,Business,Once,1,SocialMedia,TrustIssue,Week+,3,Yes,Video,2,10k-30k,No,100k+,SecurePayments,No,10
18-24,Female,Rural,Business Owner,4M-6M,Bachelor,Divorce,Once,1,PersonalContact,HighCost,SameDay,1,Maybe,Phone,3,50k-100k,Yes,<20k,TransparentPricing,Maybe,3
25-34,Male,Ulaanbaatar,Freelancer,<1M,Bachelor,Divorce,Once,5,LawFirm,HighCost,SeveralDays,3,Yes,Chat,4,50k-100k,Yes,<20k,VerifiedLawyers,Maybe,5
45-54,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Divorce,Once,3,SocialMedia,ComplexProcess,SeveralDays,3,Maybe,Phone,1,30k-50k,Maybe,100k+,TransparentPricing,Maybe,4
55+,Male,Rural,Unemployed,<1M,Bachelor,Divorce,Once,3,SocialMedia,TrustIssue,SameDay,2,No,InPerson,1,50k-100k,Maybe,50k-100k,Reviews,Yes,0
18-24,Other,Other City,Employee,2M-4M,Bachelor,Business,FewYears,1,SocialMedia,Transparency,SeveralDays,2,Yes,InPerson,1,100k+,Maybe,50k-100k,VerifiedLawyers,No,6
25-34,Male,Other City,Student,<1M,HighSchool,Labor,Once,5,SocialMedia,TrustIssue,SameDay,4,Yes,InPerson,5,30k-50k,Maybe,<20k,VerifiedLawyers,Maybe,0
35-44,Male,Other City,Student,6M+,Master,Divorce,SeveralPerYear,2,PersonalContact,HighCost,Week+,1,Yes,Phone,3,Free,Maybe,<20k,SecurePayments,Yes,10
25-34,Male,Ulaanbaatar,Business Owner,6M+,Bachelor,Other,Yearly,5,OnlineSearch,HighCost,SeveralDays,1,Yes,Chat,4,50k-100k,Maybe,20k-50k,Reviews,Yes,3
35-44,Male,Ulaanbaatar,Employee,1M-2M,HighSchool,Divorce,Once,4,SocialMedia,SlowResponse,<1hr,4,No,InPerson,3,100k+,No,<20k,GovPartnership,Maybe,6
18-24,Female,Ulaanbaatar,Freelancer,4M-6M,HighSchool,Criminal,FewYears,2,OnlineSearch,ComplexProcess,Week+,4,Yes,Chat,3,50k-100k,Maybe,50k-100k,Reviews,Yes,5
25-34,Male,Ulaanbaatar,Business Owner,1M-2M,Bachelor,Divorce,Once,2,PersonalContact,HighCost,Week+,4,Yes,Phone,5,10k-30k,Yes,20k-50k,GovPartnership,Maybe,8
45-54,Female,Rural,Student,2M-4M,Bachelor,Divorce,FewYears,2,LawFirm,HighCost,SameDay,4,Yes,Chat,4,50k-100k,Maybe,20k-50k,SecurePayments,Yes,8
55+,Female,Other City,Employee,<1M,Master,Property,Once,0,LawFirm,SlowResponse,SeveralDays,1,No,Video,7,30k-50k,Maybe,<20k,SecurePayments,No,7
18-24,Male,Rural,Student,2M-4M,Bachelor,Business,FewYears,5,PersonalContact,Transparency,Week+,4,Yes,Video,3,100k+,Maybe,50k-100k,VerifiedLawyers,Yes,5
25-34,Female,Rural,Business Owner,6M+,Master,Labor,Once,5,PersonalContact,SlowResponse,SameDay,5,Yes,Phone,2,Free,Maybe,20k-50k,SecurePayments,No,6
18-24,Male,Ulaanbaatar,Freelancer,<1M,HighSchool,Business,Once,5,PersonalContact,HighCost,Week+,4,Maybe,Video,5,30k-50k,Yes,20k-50k,SecurePayments,Maybe,9
