date,traffic_source,ad_spend,users_acquired
2025-04-17,google_search,1347,100
2025-04-17,seo_content,389,28
2025-04-17,referral,439,27
2025-04-17,facebook_ads,233,22
2025-04-17,linkedin_ads,521,28
2025-04-18,google_search,157,24
2025-04-18,seo_content,309,24
2025-04-18,referral,610,28
2025-04-18,facebook_ads,1372,142
2025-04-18,linkedin_ads,242,17
2025-04-19,google_search,363,19
2025-04-19,seo_content,779,106
2025-04-19,referral,365,40
2025-04-19,facebook_ads,865,95
2025-04-19,linkedin_ads,1136,99
2025-04-20,google_search,1091,115
2025-04-20,seo_content,434,35
2025-04-20,referral,1322,109
2025-04-20,facebook_ads,1284,118
2025-04-20,linkedin_ads,598,70
2025-04-21,google_search,458,39
2025-04-21,seo_content,854,51
2025-04-21,referral,1425,71
2025-04-21,facebook_ads,672,63
2025-04-21,linkedin_ads,253,11
2025-04-22,google_search,411,22
2025-04-22,seo_content,717,52
2025-04-22,referral,426,21
2025-04-22,facebook_ads,1114,80
2025-04-22,linkedin_ads,583,42
2025-04-23,google_search,1363,181
2025-04-23,seo_content,1110,108
2025-04-23,referral,624,55
2025-04-23,facebook_ads,1190,107
2025-04-23,linkedin_ads,436,26
2025-04-24,google_search,570,26
2025-04-24,seo_content,904,45
2025-04-24,referral,1081,88
2025-04-24,facebook_ads,1481,179
2025-04-24,linkedin_ads,278,38
2025-04-25,google_search,1006,47
2025-04-25,seo_content,801,69
2025-04-25,referral,262,22
2025-04-25,facebook_ads,510,28
2025-04-25,linkedin_ads,416,19
2025-04-26,google_search,936,50
2025-04-26,seo_content,211,15
2025-04-26,referral,869,68
2025-04-26,facebook_ads,790,58
2025-04-26,linkedin_ads,549,33
2025-04-27,google_search,1489,133
2025-04-27,seo_content,1110,64
2025-04-27,referral,1235,95
2025-04-27,facebook_ads,534,61
2025-04-27,linkedin_ads,1130,170
2025-04-28,google_search,1362,84
2025-04-28,seo_content,292,42
2025-04-28,referral,1462,92
2025-04-28,facebook_ads,972,61
2025-04-28,linkedin_ads,313,50
2025-04-29,google_search,1424,137
2025-04-29,seo_content,1139,113
2025-04-29,referral,169,12
2025-04-29,facebook_ads,175,13
2025-04-29,linkedin_ads,184,17
2025-04-30,google_search,1491,186
2025-04-30,seo_content,1334,92
2025-04-30,referral,1103,80
2025-04-30,facebook_ads,879,70
2025-04-30,linkedin_ads,1429,67
